Player,Pos,MP,Min,PrgC,PrgP,xAG,xG,Gls,Gls-xG,PPA,Att 3rd,Name,Minutes played,Appearances,Tackles,Interceptions,Clearances,Ground duels won,Ground duels won %,Total duels won,Aerial duels won %,Aerial duels won,Total duels won %
İlkay Gündoğan,MF,14,953,28,64,1.2,1.6,0,-1.6,11,362,İlkay Gündoğan,963,14,11,8,12,34,49.28,43,64.29,9,51.81
Marcus Harness,MF,2,45,0,2,0.0,0.0,0,0.0,2,13,Marcus Harness,43,2,1,0,1,1,20.0,1,0.0,0,20.0
Will Hughes,MF,13,801,13,46,1.2,0.6,0,-0.6,7,136,Will Hughes,803,13,32,6,5,44,45.36,50,50.0,6,45.87
Omari Hutchinson,"MF,FW",14,1221,40,35,1.4,0.9,1,0.0999999999999999,9,264,Omari Hutchinson,1226,14,17,6,5,65,40.37,71,31.58,6,39.44
Tim Iroegbunam,MF,6,383,5,10,0.1,0.2,0,-0.2,1,41,Tim Iroegbunam,382,6,18,8,4,29,50.0,34,83.33,5,53.13
Andy Irving,MF,5,51,0,4,0.0,0.0,0,0.0,0,8,Andy Irving,55,5,4,0,2,4,40.0,4,0.0,0,36.36
Vitaly Janelt,MF,14,1126,8,42,1.6,0.5,1,0.5,13,142,Vitaly Janelt,1132,14,17,11,27,27,49.09,36,56.25,9,50.7
Mathias Jensen,MF,8,479,5,33,0.8,0.2,0,-0.2,10,107,Mathias Jensen,481,8,4,4,6,17,51.52,20,60.0,3,52.63
Joelinton,"MF,FW",15,1230,21,61,0.8,2.1,2,-0.1,7,232,Joelinton,1235,15,32,12,23,59,39.33,89,60.0,30,44.5
Curtis Jones,MF,11,568,7,35,0.2,1.9,2,0.1,7,128,Curtis Jones,571,11,13,1,4,32,57.14,36,50.0,4,56.25
Jorginho,MF,7,364,5,25,0.2,0.0,0,0.0,8,59,Jorginho,372,7,7,5,1,16,50.0,17,25.0,1,47.22
Daichi Kamada,MF,11,620,13,39,0.6,0.6,0,-0.6,6,113,Daichi Kamada,636,11,19,7,8,32,44.44,33,20.0,1,42.86
Boubacar Kamara,MF,6,257,4,8,0.1,0.0,0,0.0,2,19,Boubacar Kamara,256,6,6,5,5,13,41.94,16,42.86,3,42.11
Bilal El Khannouss,"MF,FW",10,433,12,31,1.5,0.2,1,0.8,7,92,Bilal El Khannouss,443,10,10,3,1,17,37.78,22,55.56,5,40.74
Justin Kluivert,"MF,FW",15,900,21,36,2.0,5.1,5,-0.0999999999999996,9,215,Justin Kluivert,906,15,13,6,11,30,40.0,35,31.25,5,38.46
Mateo Kovačić,MF,11,879,32,59,1.5,1.0,3,2.0,13,315,Mateo Kovačić,880,11,22,5,6,44,51.16,49,100.0,5,53.85
Dejan Kulusevski,"MF,FW",15,1140,67,65,3.6,1.7,3,1.3,31,369,Dejan Kulusevski,1141,15,16,8,8,53,35.33,57,36.36,4,35.4
Adam Lallana,MF,8,315,5,22,0.9,0.2,0,-0.2,8,59,Adam Lallana,316,8,6,4,5,18,46.15,19,33.33,1,45.24
Roméo Lavia,MF,9,477,2,17,0.7,0.2,0,-0.2,3,48,Roméo Lavia,481,9,15,11,5,24,48.0,30,75.0,6,51.72
Mario Lemina,"MF,DF",15,1242,7,42,1.0,1.3,1,-0.3,10,91,Mario Lemina,1242,15,47,26,47,64,64.65,85,58.33,21,62.96
Jefferson Lerma,MF,11,667,5,39,0.9,0.4,0,-0.4,7,64,Jefferson Lerma,667,11,10,13,14,21,51.22,37,43.24,16,47.44
